갯수,문제,답변,핵심정리,비슷한 문제 출제 빈도(상/중/하)
111,한 타겟 근육만을 발전시킬 수 없는 이유,해당 동작 수행 시 타겟 근육의 정확한 고립과 올바른 호흡법을 통해 부상을 방지하고 운동 효율을 극대화해야 함.,"목표 근육 고립, 부상 예방",중
112,ATP 구조,"아데노신 1개와 인산기 3개가 결합된 화합물로, 인산 하나가 떨어져 나갈 때 발생하는 에너지가 근수축의 직접적인 에너지원으로 사용됨.","아데노신 1개 + 인산 3개, 근수축의 1차 에너지원",상
113,남녀 합숙 시 성희롱 예방 위한 수칙,"남녀의 숙소와 편의시설을 철저히 분리 배정하고, 합숙 전 성폭력 예방 교육을 의무적으로 실시하며 엄격한 규율을 적용해야 함.","숙소 분리, 사전 예방 교육 실시",중
114,여자 보디피트니스 경기진행 순서,"예선 라운드에서 쿼터턴 비교 심사를 실시하고, 결선 라운드에서는 I-워킹 개인 프레젠테이션을 거친 후 전체 라인업하여 다시 쿼터턴 비교 심사를 진행함.",예선 쿼터턴 -> 결선 I-워킹 후 쿼터턴 비교심사,상
115,레그프레스 시 주로 쓰이는 근육,"하체 전반을 강화하는 다관절 운동으로, 대퇴사두근이 주동근이며 대둔근과 햄스트링이 보조근으로 주로 쓰임.","주동근: 대퇴사두근 / 보조: 대둔근, 햄스트링",상
116,도핑검사 시기 별 검사약물 종류,"경기기간 외 검사에서는 주로 근육을 키우는 상시 금지약물(동화작용제 등)을 검사하고, 경기기간 중 검사에서는 상시금지약물에 흥분제, 마약류 등 특정금지약물을 추가로 검사함.","경기 외(상시금지약물) / 경기 중(상시 + 흥분제,마약류)",상
117,고강도 운동 중 탄수화물의 사용형태,고강도 운동 시에는 산소 공급이 충분하지 않아 지방 대신 근육에 저장된 '근글리코겐' 형태의 탄수화물을 주 에너지원으로 빠르게 분해하여 사용함.,근글리코겐 형태로 무산소성 대사를 통해 빠르게 분해 사용,상
118,출혈 환자 발생 시 응급처치,"깨끗한 거즈나 천으로 상처 부위를 강하게 직접 압박(직접압박법)하고, 출혈 부위를 심장보다 높게 들어 올려 지혈함.","직접 압박 실시, 심장보다 높게 거상",상
119,인권이란 무엇인가,인간이라면 누구나 태어날 때부터 가지는 차별받지 않고 존중받으며 살아갈 마땅하고 기본적인 권리임.,인간이 마땅히 누려야 할 차별 없는 기본적 권리,상
120,보디빌더가 크레아틴 섭취하는 이유,"ATP-PC 에너지 시스템에서 인산크레아틴 저장을 늘려, 단기간의 폭발적인 무산소 근력과 운동 수행 능력을 향상시키기 위해 섭취함.","ATP-PC 시스템 효율 증가, 단기 폭발적 근력 향상",상
121,손목굽힘근육에 대하여 설명하시오,"손목을 굽히는 수근굴근(요측/척측)과 손목을 펴는 수근신근이 있으며, 전완근 부위에 위치하여 손목의 굴곡과 신전을 담당함.",굴곡(수근굴근) / 신전(수근신근),중
122,체지방과 제지방에 대하여 설명하시오,"체지방은 몸에 축적된 지방 조직의 총량이며, 제지방은 체중에서 체지방을 뺀 수치로 뼈, 근육, 수분 등의 무게를 의미함.",체지방=지방량 / 제지방=체중-체지방(근육/뼈/수분),상
123,성폭력 2차피해 예방 4가지,"사건 발생 시 신속히 가해자와 피해자를 분리하고, 피해자의 신원을 철저히 비밀로 유지하며, 섣부른 합의 종용이나 비난을 절대 하지 않아야 함.","피해자/가해자 분리, 비밀 보장, 합의 종용 금지",중
124,출혈 시 응급처치 방법,"깨끗한 거즈나 천으로 상처 부위를 강하게 직접 압박(직접압박법)하고, 출혈 부위를 심장보다 높게 들어 올려 지혈함.","직접 압박 실시, 심장보다 높게 거상",상
125,초보자 트레이닝 방법,"단일 관절보다 다관절 중심의 전신 근육 운동을 우선하고, 머신을 통해 정확한 자세를 익히며, 점진적 과부하 원칙을 적용해 가벼운 중량부터 시작함.","다관절 운동 위주, 머신 활용, 점진적 과부하(저중량)",상
126,노출 부위 많은 복장 입을 때 언어적 성희롱 방지 대책,"외모나 신체에 대한 평가 및 농담을 일절 삼가고, 공적인 지도 언어와 정확한 해부학적 명칭만 사용하여 존중하는 태도를 유지해야 함.","신체 평가/농담 금지, 해부학적 명칭 사용",중
127,복근 운동 4개,"상복부를 자극하는 크런치, 하복부를 자극하는 레그레이즈, 전체 복근을 쓰는 싯업, 코어를 강화하는 플랭크가 있음.","크런치, 레그레이즈, 싯업, 플랭크",상
128,쇼크 2가지 이상,과다 출혈 등으로 인한 저혈량성 쇼크와 알레르기 반응으로 인한 아나필락시스 쇼크가 대표적임.,"저혈량성 쇼크(출혈), 아나필락시스 쇼크(알레르기)",중
129,지도자의 인권,"지도자 역시 부당한 해고나 임금 체불로부터 보호받을 노동권이 있으며, 폭언이나 폭행으로부터 보호받을 인격권 등 기본적인 권리를 보장받아야 함.","노동권(부당대우 금지), 인격권(폭언 보호) 등 기본권 보장",중
130,그립 4가지 이상,"손등이 위를 향하는 오버 그립, 손바닥이 위를 향하는 언더 그립, 양손 방향을 교차하는 얼터네이트 그립, 엄지를 빼는 썸리스 그립이 있음.","오버그립, 언더그립, 얼터네이트그립, 썸리스그립",상
131,기초대사량,"생명 유지(호흡, 심장박동, 체온유지 등)에 필요한 최소한의 에너지 소비량으로, 전체 에너지 소비의 약 60~70%를 차지함.","생명 유지 위한 최소 에너지, 근육량과 비례",상
132,생활체육 프로그램에 대한 설명,"참여자의 연령, 체력 수준, 흥미를 반드시 고려하고, 목표를 명확히 설정하며, 안전성을 최우선으로 하여 점진적이고 체계적인 단계를 거쳐야 함.","개인차 고려, 안전성 최우선, 점진적 원리 적용",상
133,필수지방산,"체내에서 스스로 합성되지 않아 반드시 음식으로 섭취해야 하는 지방산으로, 오메가-3와 오메가-6가 대표적임.","체내 합성 불가, 음식 섭취 필수 (오메가3/6)",중
134,세트와 렙에 대한 설명,"렙(Rep)은 하나의 동작을 끊기지 않고 수행한 반복 횟수이고, 세트(Set)는 이 렙들이 모여 형성된 한 묶음의 단위를 말함.","렙(Rep)=반복 횟수, 세트(Set)=렙의 묶음",상
135,여자 비키니 복장 규정,"불투명한 투피스 비키니를 착용하되 둔부의 3분의 1 이상을 가려야 하며, 규정된 하이힐을 신고 귀걸이 등 장신구 착용이 허용됨.","투피스 비키니(둔부 1/3 가림), 하이힐, 장신구 허용",상
136,손목 움직임에 관여하는 근육 설명,"손목을 굽히는 수근굴근(요측/척측)과 손목을 펴는 수근신근이 있으며, 전완근 부위에 위치하여 손목의 굴곡과 신전을 담당함.",굴곡(수근굴근) / 신전(수근신근),중
137,도핑 검사는 경기 중과 경기 후로 나뉜다. 경기 중 도핑검사 실시에 대하여 설명,"대회 당일 자정(24:00)부터 대회가 종료되고 시료 채취 과정이 마무리될 때까지의 기간에 실시하는 검사로 경기력 향상을 즉각적으로 돕는 마약류, 흥분제 등을 철저히 검사함.",대회 당일 자정~시료채취 종료까지. 흥분제/마약류 추가 검사,중
138,운동에 도움 주는 보조제 종류와 기능 설명,"근력 향상을 돕는 크레아틴, 근손실을 막고 회복을 돕는 BCAA와 글루타민, 빠른 흡수로 근성장을 돕는 유청단백질 등이 있음.","크레아틴(근력), BCAA/글루타민(회복), 유청단백질(근합성)",중
139,화상 발생 시 대처법,"즉시 흐르는 차가운 물로 15분 이상 열기를 식히고, 물집은 터뜨리지 않으며 깨끗한 거즈로 덮어 감염을 막은 후 병원으로 이동함.",15분 이상 냉각 → 물집 보존 → 거즈 덮고 병원,상
140,오버트레이닝에 대하여 설명,"불충분한 휴식과 과도한 훈련으로 피로가 누적되어 오히려 운동 수행 능력이 저하되고 만성 피로, 부상 위험이 높아지는 상태임.","피로 누적, 수행능력 저하, 충분한 휴식 필요",상
141,선수가 동료에게 폭언했을 경우 대처,"즉각 행위를 제지하여 가해자와 피해자를 분리하고, 피해자 상태를 확인한 후 스포츠윤리센터나 협회에 규정대로 즉시 신고해야 함.","즉각 제지 및 분리, 피해자 보호, 윤리센터 신고",중
142,수면 부족 시 증상,"코르티솔 수치가 증가해 근손실이 유발되며, 피로 누적, 집중력 및 운동 수행 능력 저하, 면역력 감소 현상이 나타남.","코르티솔 증가(근손실), 피로 누적, 수행능력 저하",중
143,발목 배측굴곡 설명,"발등을 정강이 쪽으로 당기는 동작으로, 전경골근(앞정강근)이 주동근으로 사용됨.","발등 당기는 동작, 전경골근(앞정강근)",상
144,여자 피지크 복장 규정,"무늬가 없는 불투명한 투피스 비키니를 착용하며 둔부의 절반 이상을 가려야 하고, 하이힐 없이 맨발로 출전하며 십자가 등 장신구는 허용되지 않습니다.","투피스 비키니, 맨발, 장신구 금지",상
145,규칙적인 유산소 운동의 이점,"심폐 기능이 향상되어 전신 지구력이 증가하고, 체지방 연소를 통해 비만을 예방하며 고혈압, 당뇨 등 대사성 질환의 위험을 크게 낮춤.","심폐지구력 향상, 체지방 감소, 대사성 질환 예방",상
146,도핑 시 선수의 의무,"가장 최신의 정확한 소재지 정보를 제공해야 하며, 검사관의 시료 채취 요구에 불응하거나 회피하지 않고 성실히 응해야 할 의무가 있음.","소재지 정보 제공, 시료 채취 성실히 협조",상
147,횡경막 기능,"가슴과 배를 나누는 돔 형태의 근육으로, 수축하며 아래로 내려가 폐에 공기를 채우는 호흡의 주동근이자 코어 복압을 형성하는 근육임.","호흡 주동근, 복압 형성",상
148,렙틴과 그렐린,"렙틴은 지방세포에서 분비되어 뇌에 포만감을 신호하여 식욕을 억제하고, 그렐린은 위에서 분비되어 배고픔을 느끼게 하여 식욕을 촉진함.","렙틴(포만감 호르몬, 식욕 억제) / 그렐린(공복 호르몬, 식욕 촉진)",중
149,남자 클래식 피지크 복장 규정,"단색의 불투명한 트렁크를 착용해야 하며, 장신구 착용은 금지되고 전면이 가려져야 하며 맨발로 무대에 오름.","단색/불투명 트렁크, 앞면 가림, 맨발, 장신구 금지",상
150,체지방과 제지방,"체지방은 몸에 축적된 지방 조직의 총량이며, 제지방은 체중에서 체지방을 뺀 수치로 뼈, 근육, 수분 등의 무게를 의미함.",체지방=지방량 / 제지방=체중-체지방(근육/뼈/수분),상
151,척추뼈 개수와 종류,"성인 기준 총 26개로 구성되며, 경추 7개, 흉추 12개, 요추 5개, 천추 1개, 미추 1개로 이루어져 있음.","총 26개: 경추7, 흉추12, 요추5, 천추1, 미추1",상
152,세계국제도핑 주요 구성요소,"세계도핑방지규약(Code), 국제표준(International Standards), 그리고 이를 적용하는 모범사례 및 지침(Models of Best Practice)으로 구성됨.","규약(Code), 국제표준, 모범사례 및 지침",상
153,탄과 브론저 규정,"문질러서 지워지는 컬러링(탄)은 전면 금지되며, 무대 오르기 24시간 전에 바르는 자연스러운 브론저나 전문 스프레이 탄닝만 허용됨.","지워지는 탄 금지, 24시간 전 브론저/스프레이 탄 허용",상
154,심폐소생술 방법,"환자의 의식을 확인하고 119에 신고한 뒤, 가슴압박 30회와 인공호흡 2회를 번갈아 가며 실시함.",의식 확인 → 119 신고 → 가슴압박(30) → 인공호흡(2),상
155,생활체육의 3대 요소,"생활체육이 원활하게 이루어지기 위한 필수 조건으로 체육 시설, 체육 지도자, 체육 프로그램 3가지가 있음.","체육 시설, 체육 지도자, 체육 프로그램",상
156,햄스트링 근육에 대해 설명,"허벅지 뒤쪽에 위치하여 무릎을 굽히고 고관절을 펴는 역할을 하며, 대퇴이두근, 반건양근, 반막양근 3가지 근육으로 구성됨.","대퇴이두근, 반건양근, 반막양근 (무릎 굴곡 기능)",상
157,지방의 역할,"1g당 9kcal의 높은 에너지를 내며, 장시간 유산소 운동의 주 에너지원이고 세포막 형성, 체온 유지, 장기 보호 역할을 함.","9kcal/g, 유산소 에너지원, 체온 유지/장기 보호",상
158,발목 배측굴곡 근육 설명,"발등을 정강이 쪽으로 당기는 동작으로, 전경골근(앞정강근)이 주동근으로 사용됨.","발등 당기는 동작, 전경골근(앞정강근)",상
159,생활체육의 생리/사회/정신적 기능,생활스포츠지도사 규정과 이론에 근거하여 참여자의 안전과 지도자의 전문성을 최우선으로 하여 대처 및 지도함.,"규정 준수, 안전 최우선 지도",중
160,비타민 B6 부족 시 문제,"단백질 및 아미노산 대사에 필수적인 조효소로, 단백질 섭취가 많은 보디빌더에게 중요하며 부족 시 피부염이나 빈혈, 피로가 발생할 수 있음.","아미노산/단백질 대사 필수, 부족 시 피로/피부염",중
161,여자 피지크 4개 이름,"프론트 포즈(전면), 사이드 체스트(측면 가슴), 백 포즈(후면), 사이드 트라이셉스(측면 삼두) 총 4가지임.","프론트 포즈, 사이드 체스트, 백 포즈, 사이드 트라이셉스",상
162,WADA 정의,"WADA(World Anti-Doping Agency)는 전 세계 모든 스포츠의 도핑 방지 규정을 통합하고 감시, 적발, 교육을 통해 클린 스포츠를 주도하는 국제 독립기구임.",세계 도핑 방지 규정 통합/감시하는 국제 독립 기구,상
163,넙다리 네갈래근 종류,"허벅지 앞쪽 근육으로 대퇴사두근이라 불리며, 대퇴직근, 내측광근, 외측광근, 중간광근 4개로 이루어져 무릎을 펴는 역할을 함.","대퇴직근, 내측광근, 외측광근, 중간광근",상
164,기초대사량 정의,"생명 유지(호흡, 심장박동, 체온유지 등)에 필요한 최소한의 에너지 소비량으로, 전체 에너지 소비의 약 60~70%를 차지함.","생명 유지 위한 최소 에너지, 근육량과 비례",상
165,생활체육 설명,개인의 건강 증진과 여가 선용을 목적으로 일상 생활 속에서 자발적으로 참여하는 모든 신체 활동을 의미함.,건강 증진과 여가 선용을 위한 자발적 신체 활동,상
166,화상에 대한 응급처치,"즉시 흐르는 차가운 물로 15분 이상 열기를 식히고, 물집은 터뜨리지 않으며 깨끗한 거즈로 덮어 감염을 막은 후 병원으로 이동함.",15분 이상 냉각 → 물집 보존 → 거즈 덮고 병원,상
167,척추기립근에 관여하는 근육,"척추를 바르게 세우고 신전시키는 척추 주위의 세로 근육군으로, 강화 운동에는 데드리프트, 백 익스텐션, 굿모닝이 있음.","척추 신전 기능. 데드리프트, 백 익스텐션, 굿모닝",상
168,남자 클래식 피지크 경기 진행 방식,"예선에서는 라인업과 쿼터턴, 그리고 7가지 규정 포즈로 심사하며, 결선에서는 선수 개인의 자유 포즈 루틴 심사 후 다시 규정 포즈 비교 심사로 우승자를 가림.",예선(쿼터턴+규정7포즈) -> 결선(자유루틴+규정포즈 비교),중
169,도핑위반 사항 11가지 중 분석 않고 위반 사항 잡는 경우,"시료 채취를 거부하거나 회피하는 행위, 도핑 관리 과정을 방해하거나 조작하는 행위, 선수의 소재지 정보 제공 의무를 위반하는 행위 등이 해당함.","시료 채취 거부/회피, 관리 과정 조작, 소재지 정보 위반",상
170,가슴 안쪽 운동 시 사용되는 근육,"대흉근의 안쪽 섬유를 모아주는 고립 운동으로 펙덱 플라이, 케이블 크로스오버, 덤벨 플라이 등이 사용됨.","펙덱 플라이, 케이블 크로스오버",중
171,남자 클래식 보디빌딩 예선 결선 진행 설명,"예선에서는 라인업과 쿼터턴, 그리고 7가지 규정 포즈로 심사하며, 결선에서는 선수 개인의 자유 포즈 루틴 심사 후 다시 규정 포즈 비교 심사로 우승자를 가림.",예선(쿼터턴+규정7포즈) -> 결선(자유루틴+규정포즈 비교),중
172,상시 금지 약물,"경기 중과 경기 외를 불문하고 항상 금지되는 약물로 동화작용제(스테로이드), 펩타이드 호르몬, 이뇨제 및 은폐제 등이 있음.","경기 중/외 모두 금지 (스테로이드, 이뇨제 등)",상
173,어깨 신전 운동,"팔을 몸통 뒤로 당기는 동작으로, 광배근, 대원근, 삼각근 후면 섬유, 상완삼두근 장두가 주로 관여함.","광배근, 대원근, 후면삼각근 관여",중
174,무산소성 해당과정 설명,산소가 부족한 상태에서 포도당이나 글리코겐을 분해하여 젖산과 소량의 ATP(에너지)를 빠르게 생성하는 에너지 대사 과정임.,"산소 없이 포도당 분해, 젖산 생성, 빠른 에너지",중
175,화상 치료방법,"즉시 흐르는 차가운 물로 15분 이상 열기를 식히고, 물집은 터뜨리지 않으며 깨끗한 거즈로 덮어 감염을 막은 후 병원으로 이동함.",15분 이상 냉각 → 물집 보존 → 거즈 덮고 병원,상
176,인권이란?,인간이라면 누구나 태어날 때부터 가지는 차별받지 않고 존중받으며 살아갈 마땅하고 기본적인 권리임.,인간이 마땅히 누려야 할 차별 없는 기본적 권리,상
177,준비운동 정리운동의 필요성,"준비운동은 체온을 높여 부상을 예방하고 관절 가동범위를 넓히며, 정리운동은 심박수를 서서히 낮추고 젖산을 제거해 피로 회복을 도움.","준비(체온상승/부상예방), 정리(심박수안정/젖산제거)",상
178,운동 시 수분섭취 필요성,"운동 중 땀으로 배출된 수분을 보충하여 탈수를 막고, 체온을 정상으로 조절하며 혈액 순환과 원활한 대사를 돕기 위해 필수적임.","체온 조절, 탈수 방지, 원활한 혈액 순환",상
179,어깨 내회전 근육 설명,"팔을 몸 안쪽으로 회전시키는 동작으로, 견갑하근, 대흉근, 광배근, 대원근이 사용됨.","견갑하근, 대흉근, 광배근, 대원근",중
180,지도자의 역할,"참여자의 운동 목표 달성을 돕는 안내자, 부상을 예방하는 안전 관리자, 지속적 참여를 이끄는 동기 부여자 역할을 함.","안내자, 안전 관리자, 동기부여자",상
181,운동 후 에너지 섭취 이유,"고갈된 글리코겐을 보충하기 위해 탄수화물을, 손상된 근육 조직의 회복과 합성을 위해 양질의 단백질을 섭취해야 함.",탄수화물(에너지 보충) + 단백질(근육 회복/합성),상
182,출혈부위 지혈방법,"깨끗한 거즈나 천으로 상처 부위를 강하게 직접 압박(직접압박법)하고, 출혈 부위를 심장보다 높게 들어 올려 지혈함.","직접 압박 실시, 심장보다 높게 거상",상
183,기도폐쇄 확인 방법,"환자가 기침을 못 하거나 목을 감싸쥐는 초킹 사인을 보일 때, 뒤에서 명치와 배꼽 사이를 주먹으로 강하게 위로 밀어 올리는 하임리히법을 실시함.",초킹 사인 확인 → 하임리히법(복부 밀어내기),상
184,행잉 레그레이즈 시 몸 흔들리면 안 되는 이유,"반동을 사용하게 되면 타겟인 하복부의 고립이 풀려 운동 효과가 떨어지고, 허리와 어깨에 무리가 가 부상 위험이 커지기 때문임.",하복부 고립 실패 및 어깨/허리 부상 위험 증가,상
185,운동 시 카테콜아민 분비가 생리학적으로 이로운 이유,"부신수질에서 분비되는 에피네프린 등으로, 운동 시 심박수를 증가시키고 글리코겐 분해를 촉진하여 즉각적으로 에너지를 동원하게 도와줌.","심박수 증가, 에너지 동원 촉진(빠른 반응)",중
186,지도자가 성인지 가치관 가져야하는 이유,"지도자는 성별에 따른 차별과 편견 없이 모든 회원을 동등하게 대하고, 무의식적인 성적 괴롭힘을 예방하여 안전한 스포츠 환경을 만들기 위해 성인지 감수성이 필수적임.","성차별 방지, 안전한 환경 조성, 인권 존중",상
187,CRP에서 가슴압박 하는 이유,심장에 압력을 가해 인공적으로 전신과 뇌로 혈액(산소)을 지속적으로 공급하여 뇌사 및 장기 손상을 막기 위함임.,뇌와 전신에 산소/혈액 공급 유지,상
188,탈의실이나 샤워실에서 지도자가 해야할 사항,"성별이 다른 경우 출입을 절대 금하며, 부득이한 관리 목적일 경우 반드시 동성의 관리자를 대동하여 동의를 구한 후 출입해야 함.","이성 출입 금지, 동성 관리자 대동",중
189,골격근 구조와 기능,"골격근은 근외막으로 싸여있고 내부는 근다발(근주막), 근섬유(근내막)로 구성되며, 근섬유는 다시 액틴과 미오신 필라멘트로 이루어져 수축 기능을 함.",근외막 > 근주막(근다발) > 근내막(근섬유) > 액틴/미오신,중
190,머신과 프리웨이트 차이점,"프리웨이트는 코어와 협응력을 기르기 좋으나 부상 위험이 높고, 머신 웨이트는 가동범위가 고정되어 초보자가 안전하고 목표 근육을 고립하기 쉬움.","프리(협응력, 밸런스) vs 머신(안전, 고립, 초보자용)",상
191,응급처치란?,사고나 질병 발생 시 즉각적이고 임시적인 처치를 제공하여 환자의 생명을 구하고 상태 악화를 방지하며 회복을 돕는 활동임.,"생명 구호, 상태 악화 방지, 임시적 처치",상
192,지방의 에너지원으로서의 단점,지방은 탄수화물에 비해 대사 과정이 복잡하고 더 많은 산소를 필요로 하기 때문에 고강도의 빠른 에너지 동원에는 적합하지 않습니다.,"산소 소모량 큼, 대사 느림, 고강도 운동 부적합",중
193,척추기립근의 역할,"척추를 바르게 세우고 신전시키는 척추 주위의 세로 근육군으로, 강화 운동에는 데드리프트, 백 익스텐션, 굿모닝이 있음.","척추 신전 기능. 데드리프트, 백 익스텐션, 굿모닝",상
194,스포츠폭력이란?,"지도자는 모든 스포츠 참여자의 인권을 존중하며, 어떠한 형태의 폭력이나 성폭력도 예방하고 신속히 대처해야 할 의무가 있음.","인권 존중, 폭력 예방",상
195,레그프레스 시 사용되는 근육군,"하체 전반을 강화하는 다관절 운동으로, 대퇴사두근이 주동근이며 대둔근과 햄스트링이 보조근으로 주로 쓰임.","주동근: 대퇴사두근 / 보조: 대둔근, 햄스트링",상
196,고강도 운동 시 탄수화물 형태,해당 동작 수행 시 타겟 근육의 정확한 고립과 올바른 호흡법을 통해 부상을 방지하고 운동 효율을 극대화해야 함.,"목표 근육 고립, 부상 예방",중
197,도핑시기와 종류,"경기기간 외 검사에서는 주로 근육을 키우는 상시 금지약물(동화작용제 등)을 검사하고, 경기기간 중 검사에서는 상시금지약물에 흥분제, 마약류 등 특정금지약물을 추가로 검사함.","경기 외(상시금지약물) / 경기 중(상시 + 흥분제,마약류)",상
198,여자 비키니 경기진행 방식,"예선에서는 쿼터턴을 통한 비교 심사를 진행하고, 결선에서는 선수 개인의 I-워킹(개인 프레젠테이션) 후 전체 라인업하여 쿼터턴 비교 심사로 순위를 결정함.",예선: 쿼터턴 비교 심사 / 결선: I-워킹 후 쿼터턴 비교,상
199,드레싱 하는 이유,"상처 부위의 오염과 감염을 방지하고, 출혈을 흡수 및 지혈하며, 외부 자극으로부터 상처를 보호하기 위해 실시함.","감염 방지, 지혈 보조, 상처 보호",중
200,척추기립근 강화운동 3가지,"척추를 바르게 세우고 신전시키는 척추 주위의 세로 근육군으로, 강화 운동에는 데드리프트, 백 익스텐션, 굿모닝이 있음.","척추 신전 기능. 데드리프트, 백 익스텐션, 굿모닝",상
201,생활체육 지도사의 필요성 4가지,"과학적이고 안전한 운동 지도, 건강한 여가 선용 및 삶의 질 향상, 사회적 관계 개선 및 공동체 의식 함양, 평생체육의 실현 및 국민 복지 증진","건강 증진, 삶의 질 향상, 질병 예방, 사회적 연대감 강화",상
202,운동 중 글루카곤의 역할,"췌장 알파세포에서 분비되며, 혈당이 낮을 때 간에 저장된 글리코겐을 포도당으로 분해하여 혈당을 높여주는 역할을 함.","췌장 분비 호르몬, 혈당 상승 작용",중
203,스포츠 폭력의 유형,"신체적 폭력, 언어적 폭력, 성폭력, 정서적 폭력 등이 있음.",신체적/언어적/성적/정서적 폭력,상
204,종아리 운동 2가지 이상과 어떤 근육이 쓰이는지,"스탠딩 카프 레이즈는 비복근이, 시티드 카프 레이즈는 가자미근이 주로 사용됨.","스탠딩 카프 레이즈(비복근), 시티드 카프 레이즈(가자미근)",상
205,심폐소생술 절차,"환자의 의식 확인, 119 신고 및 AED 요청, 가슴압박 30회, 인공호흡 2회 순으로 번갈아 실시함.",의식 확인 → 119 신고 → 가슴압박(30) → 인공호흡(2),상
206,생활체육의 요소 3가지,"생활체육이 원활하게 이루어지기 위한 필수 요소로 체육 시설, 체육 프로그램, 체육 지도자가 있음.","체육 시설, 체육 프로그램, 체육 지도자",상
207,햄스트링 근육 4가지,"허벅지 뒤쪽에 위치하며 대퇴이두근 장두, 대퇴이두근 단두, 반건양근, 반막양근으로 구성됨.","대퇴이두근(장두/단두), 반건양근, 반막양근",상
208,지방의 역할,"1g당 9kcal의 효율적인 에너지원이며, 체온 유지, 장기 보호, 지용성 비타민 흡수, 세포막 구성 역할을 함.","에너지원, 체온 유지, 장기 보호, 세포막 구성",상
209,도핑 11개 중 2가지 이상 말하시오,"금지약물 복용, 시료 채취 회피 및 거부, 선수의 소재지 정보 제공 실패, 부정 거래 등이 있음.","금지약물 복용, 시료 채취 거부, 소재지 정보 실패 등",상
210,"여자 피지크 예선, 결선 라운드 설명","예선은 쿼터턴 비교 심사를 진행하며, 결선은 4가지 규정 포즈가 포함된 개인 루틴 시연 후 다시 전체 쿼터턴 및 규정 포즈 비교 심사를 진행함.",예선(쿼터턴) → 결선(개인루틴 + 쿼터턴/규정포즈 비교),상
211,"주동근, 길항근, 협력근 설명","주동근은 해당 동작을 주도하는 근육, 길항근은 주동근과 반대로 작용하며 동작을 조절하는 근육, 협력근은 주동근의 움직임을 보조하는 근육임.","주동근(주도), 길항근(반대 작용), 협력근(보조)",상
212,운동강도에 따른 에너지 시스템,"고강도 단시간 운동은 ATP-PC 시스템과 무산소성 해당과정을, 저강도 장시간 운동은 유산소성 산화 과정을 주로 사용함.","고강도(무산소, ATP-PC/해당과정), 저강도(유산소, 산화과정)",중
213,"탄, 브론저에 관한 규정","문질러서 지워지는 컬러링(탄)은 전면 금지되며, 무대 오르기 24시간 전에 바르는 자연스러운 브론저나 전문 스프레이 탄닝만 허용됨.","지워지는 탄 금지, 24시간 전 브론저/스프레이 탄 허용",상
214,시상면이란? 시상면에서 일어나는 움직임,"신체를 좌우로 나누는 가상의 면을 뜻하며, 주로 몸을 앞뒤로 굽히거나 펴는 굴곡(Flexion)과 신전(Extension) 움직임이 일어남.",신체를 좌우로 나눈 면 / 굴곡과 신전,중
215,TUE 치료목적 사용면책,"선수가 급성 또는 만성 질환 치료를 위해 부득이하게 금지약물을 사용해야 할 경우, 사전에 위원회의 승인을 받아 면책받는 제도임.",질병 치료 목적 금지약물 사용 사전 승인 제도,상
216,"3대 영양소 설명, 유산소 무산소 운동 시 각각 ATP와 견련해 사용되는 에너지","탄수화물, 단백질, 지방을 뜻하며 무산소 운동 시에는 탄수화물을 분해해 빠르게 ATP를 만들고, 유산소 운동 시에는 지방과 탄수화물을 산화시켜 대량의 ATP를 합성함.","무산소(탄수화물 분해), 유산소(지방/탄수화물 산화)",상
217,성폭력 2차 피해 예방 및 대응 위한 방안 4가지 이상,"가해자와 피해자 즉시 분리, 피해자 신원 및 정보 철저히 비밀 유지, 섣부른 합의 종용 및 회유 금지, 피해자 심리 치료 및 법률 지원 안내 등이 있음.","즉시 분리, 비밀 유지, 합의 종용 금지, 피해자 지원",상
218,"데피니션, 세퍼레이션 설명","데피니션은 체지방을 걷어내어 근육의 결이 뚜렷하게 보이는 선명도이며, 세퍼레이션은 근육과 근육 사이의 경계선이 명확하게 나뉘는 분리도를 의미함.","데피니션(근육의 선명도), 세퍼레이션(근육간 분리도)",상
219,근력에 영향 주는 3가지 요소,"근육의 횡단면적(크기), 근섬유의 유형(속근 비율), 그리고 신경계의 운동단위 동원 능력이 있음.","근육 횡단면적, 근섬유 유형, 신경계 동원 능력",중
220,현재 스포츠계에서 인권 관련 침해,"결과 지상주의로 인한 폭언 및 구타(신체/언어적 폭력), 위계질서를 악용한 성희롱 및 성폭력, 부당한 합숙 강요 및 학습권 침해 등이 있음.","폭력/가혹행위, 성폭력, 학습권 침해, 부당한 합숙",상
221,발살바 호흡 장점 및 단점,"숨을 참아 복압을 높여 척추를 강하게 지지하고 큰 힘을 낼 수 있는 장점이 있으나, 혈압을 급격히 높여 현기증이나 실신, 뇌혈관 손상을 유발할 수 있는 단점이 있음.","장점(복압 형성, 코어 안정화) / 단점(혈압 급상승, 현기증)",상
222,최대심박수 구하는 공식과 최대심박수 정의,"공식은 '220 - 자신의 만나이'이며, 운동 강도를 최고로 높였을 때 심장이 1분 동안 뛸 수 있는 가장 높은 심박수를 의미함.","220-나이, 1분당 뛸 수 있는 최대 심장 박동수",상
223,발목 당길 때 사용하는 근육,발등을 정강이 쪽으로 당기는 배측굴곡 동작 시 전경골근(앞정강근)이 주동근으로 사용됨.,전경골근(앞정강근),상
